Alert ID,Alert Name,Trading Date,Closing Date,Ticker,Open,Closing,Shares,Cost,PnL,Return(%),Average Day in the Market,Outcome,Status,Strategy,Timeframe,Actual Buy Shares,Actual Sell Shares
1563014871,2HR BRK.B Skew,2025-01-23,2025-01-28,BRK.B,459.65,474.44,1,459.65,14.79,3.22,5,Win,Closed,2HR BRK.B Skew,2h,,
1563014871,2HR BRK.B Skew,2025-02-05,2025-02-06,BRK.B,472.11,476.55,1,472.11,4.44,0.94,1,Win,Closed,2HR BRK.B Skew,2h,,
1563014871,2HR BRK.B Skew,2025-02-13,2025-02-14,BRK.B,473.0,481.61,1,473.0,8.61,1.82,1,Win,Closed,2HR BRK.B Skew,2h,,
1564324625,4HR WM Skew,2024-10-01,2024-10-01,WM,207.3,207.21,1,207.3,-0.09,-0.04,0,Loss,Closed,4HR WM Skew,4h,,
1564324625,4HR WM Skew,2024-10-10,2024-10-10,WM,212.84,211.77,1,212.84,-1.07,-0.5,0,Loss,Closed,4HR WM Skew,4h,,
1564324625,4HR WM Skew,2024-10-15,2024-10-16,WM,214.45,214.0,1,214.45,-0.45,-0.21,1,Loss,Closed,4HR WM Skew,4h,,
1564324625,4HR WM Skew,2024-10-21,2024-10-24,WM,212.5,209.88,1,212.5,-2.62,-1.23,3,Loss,Closed,4HR WM Skew,4h,,
1564324625,4HR WM Skew,2024-10-29,2024-10-30,WM,219.3,217.96,1,219.3,-1.34,-0.61,1,Loss,Closed,4HR WM Skew,4h,,
1564324625,4HR WM Skew,2024-11-05,2024-11-06,WM,214.38,219.99,1,214.38,5.61,2.62,1,Win,Closed,4HR WM Skew,4h,,
1564324625,4HR WM Skew,2024-11-20,2024-11-20,WM,220.0,218.03,1,220.0,-1.97,-0.9,0,Loss,Closed,4HR WM Skew,4h,,
1564324625,4HR WM Skew,2024-12-05,2025-01-10,WM,224.26,207.0,1,224.26,-17.26,-7.7,36,Loss,Closed,4HR WM Skew,4h,,
1564324625,4HR WM Skew,2025-01-16,2025-01-16,WM,207.97,210.42,1,207.97,2.45,1.18,0,Win,Closed,4HR WM Skew,4h,,
